No.	Site Name	System	Distance	Series	Set	Text
0123	Highliner Antares Lost	Luyten 205-128		Series 1	Elite History	In 3251 the Antares, a technologically revolutionary passenger liner designed and built by the Sirius Corporation, disappeared during its first hyperspace jump. In 3301 Li Yong-Rui, CEO of Sirius Corporation's governmental division, launced a search for the ship. Sirius Corporation confirmed discovery of the ship's remains in 3302.
0124	Gateway History	Gateway	299 ls	Series 1	Elite History	Gateway was originally known as Oltiqu, but renamed when the Alliance was founded in 3230. The system had originally been under Federation jurisdiction after being colonised in 2473 to be used as a military staging area for a further invasion of Alioth. Over time, the military bases became more permanent colonies and settlements. The system achievend full federal membership in 2561, but remained relatively unimportant and in the shadow of Alioth for many centuries. / When Alioth finally achieved independence in 3230, Oltiqu might have been a place where the Federation forces could rally and return. However a coordinated peaceful coup by sympathetic federal officials allowed the system to be united under the banner of the Alliance.
0125	Holiacan History	Holiacan	73 ls	Series 1	Elite History	Relatively late to joining the original Alliance group in 3244, Holiacan was not contested by Federation forces as the systems assets were relatively small. The bloodless revolution is a complete contrast to its partner and robotic manufacturing rival Alioth, whose industry in this area had been expanded into the system in 3229. / Since this time, robotics manufacturing and output within the Holiacan has increased. Several other prominent political figures in Alliance politics have emerged from this system, most notably Lucinda Kallis, who wields considerable influence amongst the system group.
0126	Indaol History	Indaol	43 ls	Series 1	Elite History	This minor system in notable only because of its early membership of the Alliance, joining in 3232. This membership granted the colonists significant technological improvement on their existing lot.
0127	Olgrea History	Olgrea	2,938 ls	Series 1	Elite History	Mic Turner, the intergalactic Explorer, ship designer and founder of the Alliance, led the Federation expenditionary team tha brought colonists to Olgrea in 3224. \ Terraforming operations began almost immediately as the Federation could see that further population growth in the region would require room to accommodate. \ In 3239, Alliance warships and Turner's command return to the system and after a short altercation with Federal forces won control of Fortress Jung and New Casablanca. After this it was only a matter of time before the rest of the system surrendered and the Federation withdrew. \ By 3250, the Olgrea system had become a massive part of the Alliance infrastructure. The Planet New Gotham became the centre of agricultural production for the entire Alliance sector. The system population had grown to approach 100 million inhabitants, one of the fastest system migrations in interstellar history.
0128	Origins of the Empire	Achenar	20,660 ls	Series 1	Elite History	The origins of the Empire date back to the colonisation of the Achenar system in the middle of the 23rd century. Marlin Duval was a wealthy woman from Earth, who, disenchanted with their administration and authorities, set off with her own colonising fleet to Achenar 6d because it was so far from Earth. Her leadership ended abruptly when her brother Henson oversaw a flying 'accident' in which she perished. The democratic government changed abruptly to one of strict imperial rule and from then on the family assumed leadership. Female children in the family were prevented with genetic techniques, such was the hatred of Marlin Duval's principles and vision of a world in peace. This restriction was gradually phased out over the years, but the succession of Emperors has remained along the male line until recently.
0129	War with the Federation	Achenar	20,812 ls	Series 1	Elite History	Achenar drew the irritation of the Federation at the start of 2323, when reports reached Earth that the colonists had wiped out a sentient race on the planet. This, coupled with the refusal of Achenar to become a member, caused the Federation to send a battle group to take control of the system by force. / The fleet eventually arrived in the Achenar system at the start of 2324. Gathered intelligence meant the Imperial forces ambushed the Federal forces as they jumped into the system. What they hadn't predicted was the enemy to use their pack hunting formation against them.
0130	Failed Invasion	Achenar	202,593 ls	Series 1	Elite History	For the rest of 2324. Federation ships tried to establish a beach head in the furthest reaches of the system, but with no breathable atmosphere amongst the far planets, they struggled to maintain for the war effort. / Eventually in 2325 Henson Duval decided Federal forces had been weakened sufficiently to strike. Achenar's own small fleet was mobilised, the Duval family commandeering nearly every vessel in the system to fall upon the weakened Federal forces where they clustered on the edge of the system. This became know as the Great Battle of Liberation.
0131	Hall of Martyrs	Achenar	20,660 ls	Series 1	Elite History	At the end of the war, in the great palace of the Duvals on Capitol, Henson Duval ordered a great hall to be filled with obsidian pillars. These unadorned blocks of black stone represent each brave soul who has died for Achenar. Sixteen thousand and thrity two pillars were constructed for its opening in 2381. this tomb remains underneath the Imperial palace on Capitol. The highest memorial for an Imperial citizen is to be entombed in the Hall. / It is rumoured that some of the later martyrs were encased in their stones alive...
0132	Lanner's Privateers	Ackwada	490 ls	Series 1	Elite History	In 2865, a request from the Rockforth Corporation reached the Emperor for assistance in the Ackwada system against the Federation. At the promise of substantial financial reward a battlegroup was assembled to respond. / Officially, the appointed leader of this flotilla, one Samuel Lanner, was an independent trader and privateer. / The clash between the Federation and Lanner's forces remained limited and the Federal fleet withdrew to Laveack. The Rockforth Corporation paid up as promised and signed a contract with Lanner's privateers to guarantee the defence of the system.
0133	Lanner's Victory	Ackwada	490 ls	Series 1	Elite History	Seven years later, in 2872 the fleet returned. A clash with Lanner's forces resulted in a stalemate. Using Anaconda transports and Cobra Mark I's, Lanner was able to outmanoeuvre the larger Federal battle group, forcing another retreat. In 2873, Lanner was summoned back to Achenar, Records indicate he departed from Ackwada, but he was never heard from again. A memorial stone was erected in the Hall of Martyrs in his honour.
0134	Wrekcht's Raid	Andceeth	496 ls	Series 1	Elite History	In 2913, former Imperial Commander Maximillian Wrekcht attempted to raid the banking vaults on the Trouble in the Andceeth system. Whilst Wrekcht was a retired Commander of the Fifth Imperial fleet, his actions under an Imperial letter of marque left no doubts to his affiliation. Working from an Imperial cruiser with a prototype engine mask, Wrekcht's audacious attempt to bombard the planet with asteroids was foiled by Federal defence forces. He was believed to have died in the ensuing battle.
0135	Battlegroup's Disappearance	Alioth	1,242 ls	Series 1	Elite History	In 2924, a further conflict started up in the Alioth system, initiated by a squabble over its hydrocarbon resources. The Durn and Resnar Corporation applied for Imperial assistance to enforce its claim over a large swathe of the system's mining rights. A small force of Imperial cruisers and their support ships arrived in the system and rapidly deployed to enforce these claims. They vastly outnumbered the mustered Federal units, and forced them out of the entire system within a year. But then, withouth warning in 2925, the Imperial battle group disappeared. Federal vessels returned and Hassoni-Kruger appropriated the system's mining rights. Within month all assets of the Durn and Resner Corporation were seized by the Emperor. The reson for the strange events has never been discovered. Federal intelligence sources were later to accuse the Duvals of instigating a cloning programme to breed specialised infantry units.
0136	Genetic Research Cleansed	Fawaol	1,048 ls	Series 1	Elite History	In 2934, acting on the information of concerned locals, Imperial forces arrived in the Fawaol system to wipe out the experimental genetic research facilities of the Darious Foundation.
0137	The Empire's Loss	Zeessze	490 ls	Series 1	Elite History	in 2942, New America in the Zeessze system revolted over the harsh working conditions imposed more than a century before. Suprisingly the Imperial fleet was not deployed and the system gradually reverted to Federation rule.
0138	Olban's Succession	Liaedin	2,164 ls	Series 1	Elite History	In 2943, at the age of one hundred and fourteen, Trasken Duval III died. His son Olban Hensard Duval succeeded him. / Olban's first action on the interstellar political stage marked a different approach to his father. Imperial involvement in the disputes in the Liaedin system, beginning in 2945, were subtle rather then heavy-handed.
0139	Olban's Diplomacy	Zeaex	301 ls	Series 1	Elite History	Further evidence of Olban Duval's subtle approach occured in 2951 when the Empire elected to act through agents in the Zeaex system, empowering Erronsa and Francis Ashfield in their conflict over mining right with Grambourne Cambridge of the Federeation.
0140	The Emperor's Own	Laedla	408 ls	Series 1	Elite History	The Emperor's willingness to use force was proven when in 2959, an Imperial strike force invaded the Laedla system and overwhelmed the Federation garrison on Mansfield on 'Lighting Thursday'. This was the first recorded deployment of 'The Emperor's Own', an elite military corps.
0141	Yorkville Patriots	Ackwada	2,044 ls	Series 1	Elite History	in 2974, the Federation pushed further. Another invasion began in the Ackwada system. This time, instead of sending a 'privateer' battlegroup, the Empire supllied ships and equipment directly to the system's residents. The 'Yorkville Partriots' rose up and defeated the Federation fleet six weeks after they arrived.
0142	Ashfield's Death	Zeaex	207 ls	Series 1	Elite History	In 2976, the death of Francis Ashfield in the Zeaex system, allegedly at the hands of Federal assassins, prompted only the second major military assembly of Olban Hensard Duval's reign. However, conflict was averted when the settlers of Newtown in the system sent a personal appeal to both the Federation and the Empire, which resolved the matter of mining rights and established an uneasy truce.
0143	Gaylen's Ascension	Quince	2,068 ls	Series 1	Elite History	The ascension of Gaylen Trasken Duval was marked with chaotic celebrations in the Achenar and Quince systems. With a new Emperor on the throne, the Imperial political agenda changed again. Gaylen proved to ma more prickly and temperamental character than his predecessor. Hostilities at Alioth were renewed in 2994, whilst a Federation  supported coup in the Ackwada system was ruthlessly suppressed by the Imperial backed forces in 2996.
0144	Imperial Palace Expands	Achenar	42,370 ls	Series 1	Elite History	Gaylen Trasken Duval's first act as Emperor, was to expand the Imperial palace on Capitol, transforming the building into the glowing pink glass structure we know today. To complete his vision, the Emperor hired thousands of the galaxy's best designers and architects to work on the structure. The result is one of the great manufactured interstellar marvels of our age.
0145	Terraforming	Cemiess		Series 1	Elite History	The Emperor's passion for the arts and very high standards of living saw a rapid population increase in Imperial systems. Massive migration from independent, Galcop and Federation worlds saw an accompanying increase in prosperity. \ To deal with the rapid rise in population across many worlds, the Empire began terraforming of Cemiess 2 in 3080. This put paid to Federal ambitions in the system. A colonial charter had been established since 3055, but lack of funds had prevented any expansion. The act of approving the Imperial settlement proved to be the last of Gaylen Trasken Duval who dies shortly afterwards, he was 109 years of age.
0146	Atticus Ascension	Exioce		Series 1	Elite History	Atticus Obellan Duval ascended to the Imperial throne in 3081. His arrival triggered noticeably less celebration and the man's dour and bitter countenance was quickly noted as a contrast to the theatrically inclined Gaylen. In 3082 a second mission was sent to Exioce, terraforming the planet Experiment and establishing a permanent presence there, putting an end to Federal ambitions in the system.
0147	Faveol Hostilities	Liaedin	344 ls	Series 1	Elite History	3094 saw an outbreak of further hostilities in the Liadedin system. The Faveol family offered a substantive financial investment to the Empire if it would intervene in in continual dispute with the Blossom family over a specific territorial issue.
0148	Governor Santorini's Assassination	Tau Ceti	394 ls	Series 1	Elite History	In 3098 Governor Santorini of Tau Ceti was assassinated. Popular Federal press sources pinned the blame on the Empire, citing several quotes from 'Proxmire' Santorini's speeches that would make him an imperial target. Unusually, the Emperor elected to make a personal rebuttal of the accusation, but three years later, Imperial colonists escorted by Imperial warships, settled on Emeral. The Federation responded by sending Admiral O'Biren with a heavily armed battlegroup, who also dropped a military force onto the planet. Over the next thirty years, botn sides would battle to gain control of the planet and the system.
0149	Military Base Established	Facece		Series 1	Elite History	In 3104 a permanent military training base was established on Peter's Wreck in the Facece system. Facece had always been known for its strong support and commitment to training the Empire's finest, but the dedicated base signalled a new fervour for military renewal. This renewal was tested when in 3114, the scientists of Nesbitt Landing in Alioth began demonstrating substantial innovations in robotic manufacture and production.
0150	Hender's Ascension	Facece		Series 1	Elite History	Hender Saik Duval took the throne quietly. Ascending at the age of twenty two, he was the youngest to attain the throne. \ The new Emperor was a cautious man and his initial action on the political stage reflected this. The development of the Imperial Courier in 3145, the first Imperially funded ship design (designed without to much regard to cost) to appear in several hundred years prompted a large scale effort of renewal that had started with the establishment of the Facece Military Academy in 3104. Ship trials the previous year had suggested the Courier would exceed expectations and so further finance was ploughed into the area of spaceship design.
0151	Hengist's Ascension	Achenar		Series 1	Elite History	In 3233, Hengist Duval ascended to the throne. His coronation, broadcast throughout the Empire, gave the impression of a serene transition. However, behind the veneer lay tensions. The Imperial Senate had gained considerable power in the last years of Hesketh's reign. The first decade of Hengist's rule was tense as the new Emperor struggled to assert himself and repopulate his court with individuals he considered personally loyal.
0152	Innitu's Assassination	Beta Hydri	4,336 ls	Series 1	Elite History	"In 3251, the publication of ""The Thargoids: Truth and Fiction"" by Dr Joreb Innitu of the Alien Studies Department of the Ghandi Institute based on Wicca's World (Alioth) inflamed tension between the Alliance and other political powers. He was ambushed and assassinated whilst leaving the Beta Hydri system after a scientific conference."
0153	Civil War	Tiliala		Series 1	Elite History	In 3251, civil war broke out in Tiliala. The Dictator and leader of the Valhallan Democratic Peace Party, Augustus Checkin, under threat from the Valhallan Liberation Front. 'Friends' of the ruling party put out a contract on the leader of the Valhallan Liberation Army (the armed wing of the VLF), Dentara Rast. \ Over the next few months, the conflict gradually petered out, moving towards a diplomatic solution until other members of the VLA were assassinated. In response, Dentara Rast took to the holo-vid channels and swore revenge. \ The chance discovery of Tantalum (a rare and valuable metal) on the planet drew Imperial interest to the situation. A covert force of Imperial ships were detected by local police, who appealed for Federal assistance and a battlegroup was despatched.
0154	Dentara Rast's Assassination	Tiliala		Series 1	Elite History	Later in 3251, the assassination of Dentara Rast, began a chain of de-stabilising events that would lead, in 3262, to an interstellar proxy war in the system. Imperial agents were blamed for Rast's death as were INRA and the Federation. The cancellation of the elections and lack of a clear perpetrator turned the once peaceful and wealthy Tiliala on its head. Both the Federation and Empire saw the valuable metal as something they could not pass up, Publically the Federation claimed it was 'supporting the stable government', whilst the Empire claimed to be 'assisting in the liberation of an oppresssed populace'.
0155	Chancellor Blaine	Facece		Series 1	Elite History	In 3283, Anders Blaine, Senator of Facece was secretly invited to Achenar. It was clear, Hengist Duval's interest in politics had waned. Blaine was made Chancellor by Imperial decree.
0156	Sorbago Slave Rebellion	Sorbago		Series 1	Elite History	"In 3300 a slave rebellion was sparked in the Sorbago system. Senator Zemina Torval responded by sending two Majestic Class-Interdictors to ""keep the peace"", and offered generous payments to those who helped her."
0157	Durius Defaults	Durius	284,000 ls	Series 1	Elite History	In December 3300, the impoverished Durius system defaulted on the loan granted it by Imperial Senator Denton Patreus. Talks with Governor Malachai were to no avail and war was declared. Despite facing devastating odds, the Durius system fought back valiantly. Senator Patreus  was ultimately victorious, despite facing a desperate opposition, and subsequently brought Durius into the fold as an Imperial system.
0158	Volungu Blight	Furbaide		Series 1	Elite History	Reports began in February 3301 that despite the valiant efforts of medical staff in Liaedin, LHS 3505 and Furbaide the illness known as the Volungu Blight was spreading unchecked. Hundreds died in just 24 hours from the disease. A rapid-response medical team was sent to Effinger Port in the Furbaide system in an attempt to contain the spread. \ Aisling Duval arrived at Effinger Port to offer her assistance along with dozens of trained medical staff. Despite this intervention, the death toll reached thousands within a few days. \ By the end of the month the blight was contained after the pathogen was identified by Aisling Duval's team. By the time the cure was distributed, 3,505 people had lost their lives.
0159	The Line of the Duvals	Achenar	66 ls	Series 1	Elite History	The Line of the Duvals \ Marlin Duval \ Henson Duval (2320 - 2402) \ Saik Duval (2402 - 2483) \ Trasken Duval (2483 - 2541) \ Hennick Duval (2541 - 2604) \ Lucius Duval (2604 - 2684) \ Anders Duval (2684 - 2739) \ Hender Duval (2739 - 2799) \ Trasken Duval II (2799 - 2858) \ Trasken Duval III (2858 - 2943) \ Olban Hensard Duval (2943 - 2991) \ Gaylen Trasken Duval (2991 - 3061) \ Atticus Obellan Duval (3061 - 3132) \ Hender Saik Duval (3132 - 3182) \ Hesketh Duval (3182 - 3233) \ Hengist Duval (3233 - 3301) \ Arrisa Lavigny-Duval (3301 - present)
0160	Imperial Palace	Achenar	20,660 ls	Series 1	Elite History	Tourists, once they have amassed the documents required to visit the Achenar system, flock to see the Emperor's palace on Capitol. The building is a vast structure of a pink glass-like material which shimmers in the sun and glows as it re-emits the energy at night. Foreign visitors are welcomed by palace staff who use subtle pro-Empire propaganda in an attempt tp undermine the Federation. This greeting is not extended outside the palace grounds, where a person with a Federation accent is met with scorn unless money can be made out of them. The accent of the Empire has evolved out of Achenarians trying to mock the standard Federation diction by accentuating certain vowels. To the foreigner their speech sounds rather like a whine.
0161	Federal Congress	Sol	749 ls	Series 1	Elite History	Federal Congress is made up of 500 Congressmen (the term for both men and women). They sit in Congress, which is in Olympus Village on Mars - which replaced its location in Washington DC early in the previous millenium. \ Congressmen are elected for an eight year term, along with a President, with a 'vote of no confidence' after four years. If the vote if no confidence succeeds then a full election takes place. A Congressman (or President) cannot serve multiple consecutive terms. \ Every Federation system has representation in Congress, but generally a Congressman represents multiple systems, except a few (like Sol) that have more than one Congressional representative, based loosely on historic population. Phenomenal growth in the outer systems has meant that they have have little representation in the Congress, and there is frequent discussion about creating many new Congressmen to address this balance, but the various power blocks realise it will change the balance of power away from the core systems, the very people who would have to vote it through - so many agree it is unlikely to happen in the near future.
0162	Federal Constitution	Sol	749 ls	Series 1	Elite History	Federal law is based on an agreed Constitution. People have rights and freedoms, enshrined by this agreement. A great many things are illegal, like slavery, cloning and certain narcotics. Local 'State' law prohibits other trafficking to a greater or lesser degree. Things like ship-based weapons, personal weapons, other milder drugs and alcohol are banned in some systems. \ Federal law is controlled by the Mars goevernment, and the sheer size of the Federation makes it very hard for a System to have any influence on changing it.
0163	Church of kum-Byar	Arexack		Series 1	Elite History	The Church of Kum-Byar is a zealot faith in the Arexack system. A civil war between two sects of the church raged for more than one hundred years before an uneasy truce was called in 2361. The religious values of the church are austerity and the removal of all body hair.
0164	Revised Catholic Mission	Aymiay		Series 1	Elite History	Based in Aymiay at a Unniversity, with two further institutions on Mars and Beta Hydri, the Revised Catholic Mission grew out of one of a select few older religions and has tried to update its tenets to reflect the changing nature of interstellar society. The old religious values of pre-space-travel Earth could not cope with the scientific progress of the 3rd and 4th millennium. The 'revised mission', to bring an understanding of moral living, repentance and the need to earn a place in heaven became a more inclusive set of values that could be promoted throughout human interstellar society.
0165	Ancient History	Sol	497 ls	Series 1	Elite History	"Mankind's first ventures into space were tentative and gradual. The early part of the 21st century saw the first manned spaceflights beyond the moon, but it took major population and economic problems to stimulate enough commercial commeitment to start settlements beyond Earth. \ The Third World War saw this exploration expenditure dragged back again and it wasn't until the very end of the 21st century that colonies on Mars and the Moon became truly permanent and viable. \ After the war, the dominant power was the United States of the Americas, and as the remaining other countries joined it over the next few decades, it was renamed the Federation of the United States and later ""The Federation"" as the implied reference to one of the pre-war powers was a block to the remaining countries joining it. It had a constitution and laws derived from the earlier powers, but much simplified."
0166	Early Hyperspace	Tau Ceti	394 ls	Series 1	Elite History	The 22nd century saw early pioneering projects begin to take shape. The discovery of a workable hyperspace theory and the design of the first unreliable, inefficient and slow 'faster than light' drive (compared to those we are used to in 3300) opened the possibility of exploration and settlement. A new frontier of science and engineering opened, confirmed by the first detailed messages and system scans t o be received back to Earth from an interstellar probe sent to the Tau Ceti system years earlier. This led to a corporate race-for-the-stars as massive colony projects were founded, funded, built and launched, together with hundreds of automated probes sent to all the nearby systems.
0167	First Interstellar Colony	Tau Ceti	394 ls	Series 1	Elite History	Tau Ceti was the first colony established outside of Sol. Tau Ceti 3 (now called Taylor Colony) had long been determined viable for habitation with life already present (due to free oxygen detected in the atmosphere absorption spectra) - though observation and probe data confirmed this. By 2159, the settlement was largely self-sufficient and able to elect a civilian administrator.
0168	Early Colonies	Delta Pavonis		Series 1	Elite History	Other colonies followed soon after. Delta Pavonis, Beta Hydri and Altair were all explored and settled between 2190 and 2230, and an uncontrolled expansion followed, with corporations and all sorts of groups of private individuals heading off into the stars. There was a 'wild west gold rush' atmosphere to it all, as news of vast tracts of land, huge wealth, giant dinosaur-like beast, and heroic acts filtered back to Earth, with the romance of the process causing many to want to leave the mother planet.
0169	Ecological Loss	Tau Ceti	394 ls	Series 1	Elite History	The issue of what to do about alien life became a queston of real significance the day humans first set foot on Tau Ceti 3. The early colony found itself battling to survive and adapt in a challending environment. The priority of preserving the indigneuous life was secondary to preserving the lives of the colonists themselves, and indigenous life was suffering due to being out-competed by imported but feral Earth life forms (bot intentionally (pets, crops) and accidentally (disease etc.) imported). This hardy 'survival' attitude did not abate as things grew easier and the colonist, led by John Taylor, saw the environment as something to master. When automated agricultural systems came online, hunting, which had been a necessity, became a trade. Taylor was elected civilian administrator in 2161 and immediately pushed for the colony to become fully independent from Earth. In repsonse and at the behest of the mission's corporate backers, Earth sent a delegation to Tau Ceti 3 to scrutinise its practices. What they found was widespread active destruction of the planet's native ecosystem. The Authority for Ecological Control issued guideleines for habitat conservation and recommended a second mission be sent in twelve months to judge if any improvements had been made. When this arrived in 2163 and found the situation had grown worse, trade sanctions were recommended and imposed. This further strengthened the hand of Taylor who in 2165 proposed a referendum on independence, which was narrowly defeated in the colonial forum.
0170	Accidental Extinction	Delta Pavonis	689 ls	Series 1	Elite History	In 2182, fragile indigenous life, still at an early stage of its evolution, was discovered in the Delta Pavonis system and through a bacteriological accident, completely wiped out in the same year. When further alien ecologies were discovered in the Beta Hydri and Altair systems, and with the failure of the project to terraform Mars, it looked like humanity would bring the cosmos to its knees, much as it had managed to do to its own planet.
0171	New Leadership	Sol	497 ls	Series 1	Elite History	However, the 23rd century saw new leadership and initiative. The Earth Environmental Recovery Programme to restore the polluted and radioactive regions of the planet was much more successful.
0172	New Agreements	Altair		Series 1	Elite History	The renewed sense of purpose this strategy brought to the planet extended outwards to the interstellar colonies. Agreements were reached with Beta-Hydri and Altair. In exchange for further self-determination each system agreed to maintain and preserve the natural habitats of indigenous life in their star systems. Shortly after this, Delta Pavonis also joined this agreement to act with restraint should any further life be discovered in the system.
0173	Alien Transgressions	Tau Ceti	394 ls	Series 1	Elite History	Further ecological transgression by Tau Ceti colonists was uncovered in 2228 when an undercover documentary found its way back to Earth. In it, Tau Ceti colonists were seen flouting Earth decrees and guidelines on a variety of matters, most notably native ecological preservation and the exploitation of natural resources. Mindful of the failure on Mars and the continual infammatory role played by John Taylor, now well into his eighties. Earth sent a military task force to the system with order to revoke its colonial charter.
0174	Federal Accord	Tau Ceti	394 ls	Series 1	Elite History	"In early 2240, hours before the Earth fleet arrived in Tau Ceti, the main settlement changed its name to Taylor Colony and voted for independence from Earth. Without the starships to give battle, the colonists targeted the Earth fleet dropships as they attempted to land. Neither side could could an advantage and so diplomacy resumed. With some bitterness on both sides, a negotiated settlement was reached and in 2242, the Federal Accord was announced. This was effectively an extension of the consitution of the Federation, which briefly changed its name to the ""Federation of Star Systems"" - but this did not stick, and the term ""Federation"" returned. / The Federal Accord granted independent rights and membership to each system that signed it, provided they met certain development goals. Initially each of the signatories (including Earth) did not meet the goals, as the core principle of the agreement made at Tau Ceti was to eliminate the political games that had been played in the previous century."
0175	Non-Human Relic	Sol	749 ls	Series 1	Elite History	In 2280, the first nun-human relic was found in space. The object was found buried on Mars; it was no bigger than a child's hand and is still surrounded in secrecy, even in 3300. No information has ever been circulated as to the properties of this item or its origin, other than it is non-human.
0176	Second Terraforming Attempt	Sol	749 ls	Series 1	Elite History	In 2291, the second attempt to terraform Mars was eventually successful. The techniques employed were crude by later standards and the project had taken nearly a hundred years, but finally, humans could walk on the surface and breathe without the need for oxygen suits or respirators.
